chr,start,end,name,signalValue ,pValue ,qValue,peak,ann_start,ann_end,gene,product
U00096.3,842,1055,NA_peak_1,1.31492,11.918,9.66208,63,337,2799,gene=thrA,product=fused aspartate kinase/homoserine dehydrogenase 1
U00096.3,3335,3631,NA_peak_2,1.31606,12.4478,10.152,171,2801,3733,gene=thrB,product=homoserine kinase
U00096.3,4350,4677,NA_peak_3,1.22248,7.30397,5.53832,207,3734,5020,gene=thrC,product=threonine synthase
U00096.3,6196,6358,NA_peak_4,1.1996,5.23834,3.78789,71,5683,6459,gene=yaaA,product=DNA binding and peroxide stress response protein YaaA
U00096.3,9468,9744,NA_peak_5,1.2108,6.71305,5.03398,104,9306,9893,gene=mog,product=molybdopterin adenylyltransferase
U00096.3,10026,10233,NA_peak_6,1.16711,4.03076,2.78165,63,9928,10494,gene=satP,product=acetate/succinate:H(+) symporter
U00096.3,10682,10836,NA_peak_7,1.18749,4.99503,3.58413,66,10643,11356,gene=yaaW,product=putative enzyme-specific chaperone YaaW
U00096.3,10682,10836,NA_peak_7,1.18749,4.99503,3.58413,66,10830,11315,gene=mbiA,product=uncharacterized protein MbiA
U00096.3,13761,13994,NA_peak_8,1.21599,6.3551,4.72962,71,12163,14079,gene=dnaK,product=chaperone protein DnaK
U00096.3,14706,15122,NA_peak_9,1.28645,11.0545,8.86931,128,14168,15298,gene=dnaJ,product=chaperone protein DnaJ
U00096.3,23165,23743,NA_peak_10,1.22789,7.99329,6.13634,477,22391,25207,gene=ileS,product=isoleucine--tRNA ligase
U00096.3,24555,25091,NA_peak_11,1.20358,6.61738,4.95261,333,22391,25207,gene=ileS,product=isoleucine--tRNA ligase
U00096.3,26507,26695,NA_peak_12,1.22161,6.5747,4.91589,53,26277,27227,gene=ispH,product=4-hydroxy-3-methylbut-2-enyl diphosphate reductase
U00096.3,27488,27652,NA_peak_13,1.25908,8.85931,6.89759,69,27293,28207,gene=rihC,product=ribonucleoside hydrolase RihC
U00096.3,31863,32299,NA_peak_14,1.25785,9.08536,7.09825,126,30817,34038,gene=carB,product=carbamoyl-phosphate synthetase large subunit
U00096.3,32994,33172,NA_peak_15,1.26419,9.53941,7.50392,52,30817,34038,gene=carB,product=carbamoyl-phosphate synthetase large subunit
U00096.3,35026,35215,NA_peak_16,1.18727,5.37147,3.89943,96,34781,35371,gene=caiE,product=putative transferase CaiE
U00096.3,35494,35799,NA_peak_17,1.19393,5.8871,4.33451,174,35377,36162,gene=caiD,product=crotonobetainyl-CoA hydratase
U00096.3,42591,42739,NA_peak_18,1.22492,6.48342,4.83813,81,42403,43173,gene=fixA,product=putative electron transfer flavoprotein FixA
U00096.3,43585,43768,NA_peak_19,1.16753,5.03295,3.6155,138,43188,44129,gene=fixB,product=putative electron transfer flavoprotein FixB
U00096.3,47432,47792,NA_peak_20,1.13676,3.31822,2.19299,245,47246,47776,gene=kefF,product=regulator of KefC-mediated potassium transport and quinone oxidoreductase
U00096.3,47432,47792,NA_peak_20,1.13676,3.31822,2.19299,245,47769,49631,gene=kefC,product=K(+) : H(+) antiporter KefC
U00096.3,47875,48505,NA_peak_21,1.39034,20.0161,17.3842,350,47769,49631,gene=kefC,product=K(+) : H(+) antiporter KefC
U00096.3,48737,48948,NA_peak_22,1.12251,2.82606,1.78949,100,47769,49631,gene=kefC,product=K(+) : H(+) antiporter KefC
U00096.3,52927,53354,NA_peak_23,1.34824,15.0889,12.6288,245,52427,53416,gene=pdxA,product=4-hydroxythreonine-4-phosphate dehydrogenase
U00096.3,54005,54230,NA_peak_24,1.30616,12.4424,10.1471,85,53416,54702,gene=surA,product=chaperone SurA
U00096.3,56721,57033,NA_peak_25,1.21094,6.15323,4.55894,137,54755,57109,gene=lptD,product=lipopolysaccharide assembly protein LptD
U00096.3,57838,57990,NA_peak_26,1.17836,4.49666,3.16812,105,57364,58179,gene=djlA,product=co-chaperone protein DjlA
U00096.3,66259,66472,NA_peak_27,1.17317,4.78751,3.41029,138,65855,66550,gene=araD,product=L-ribulose-5-phosphate 4-epimerase AraD
U00096.3,67888,68241,NA_peak_28,1.22382,7.05745,5.3277,134,66835,68337,gene=araA,product=L-arabinose isomerase
U00096.3,68470,69149,NA_peak_29,1.21228,6.5949,4.93318,43,68348,70048,gene=araB,product=ribulokinase
U00096.3,69720,69912,NA_peak_30,1.20006,5.82683,4.283,77,68348,70048,gene=araB,product=ribulokinase
U00096.3,72240,72529,NA_peak_31,1.13588,3.47333,2.32086,173,72229,72927,gene=thiQ,product=thiamine ABC transporter ATP binding subunit
U00096.3,73434,73909,NA_peak_32,1.34658,15.7748,13.2787,176,72911,74521,gene=thiP,product=thiamine ABC transporter membrane subunit
U00096.3,75683,75847,NA_peak_33,1.20636,5.86257,4.31345,133,75644,77299,gene=sgrR,product=DNA-binding transcriptional dual regulator SgrR
U00096.3,76853,77226,NA_peak_34,1.21755,6.98474,5.26538,236,75644,77299,gene=sgrR,product=DNA-binding transcriptional dual regulator SgrR
U00096.3,80026,80333,NA_peak_35,1.15233,3.67319,2.48583,296,79464,80864,gene=leuC,product=3-isopropylmalate dehydratase subunit LeuC
U00096.3,81630,81838,NA_peak_36,1.259,8.97144,6.9975,167,80867,81958,gene=leuB,product=3-isopropylmalate dehydrogenase
U00096.3,82916,83144,NA_peak_37,1.21615,6.70507,5.02709,168,81958,83529,gene=leuA,product=2-isopropylmalate synthase
U00096.3,85791,85946,NA_peak_38,1.22251,6.15199,4.55786,51,85630,87354,gene=ilvI,product=acetolactate synthase/acetohydroxybutanoate synthase%2C catalytic subunit
U00096.3,86796,86976,NA_peak_39,1.13824,3.24277,2.13095,77,85630,87354,gene=ilvI,product=acetolactate synthase/acetohydroxybutanoate synthase%2C catalytic subunit
U00096.3,88367,88514,NA_peak_40,1.20234,6.24592,4.63793,30,88028,89032,gene=cra,product=DNA-binding transcriptional dual regulator Cra
U00096.3,88684,88964,NA_peak_41,1.23954,8.39948,6.49234,110,88028,89032,gene=cra,product=DNA-binding transcriptional dual regulator Cra
U00096.3,89721,89933,NA_peak_42,1.19136,5.1502,3.71442,159,89634,90092,gene=mraZ,product=DNA-binding transcriptional repressor MraZ
U00096.3,90234,90650,NA_peak_43,1.31284,12.7854,10.4665,143,90094,91035,gene=rsmH,product=16S rRNA m(4)C1402 methyltransferase
U00096.3,91597,91785,NA_peak_44,1.19771,5.75957,4.22687,101,91413,93179,gene=ftsI,product=peptidoglycan DD-transpeptidase FtsI
U00096.3,92106,92387,NA_peak_45,1.25175,8.66809,6.72929,115,91413,93179,gene=ftsI,product=peptidoglycan DD-transpeptidase FtsI
U00096.3,93163,93326,NA_peak_46,1.2375,7.66439,5.85007,60,91413,93179,gene=ftsI,product=peptidoglycan DD-transpeptidase FtsI
U00096.3,93163,93326,NA_peak_46,1.2375,7.66439,5.85007,60,93166,94653,gene=murE,product=UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase
U00096.3,94075,94288,NA_peak_47,1.28607,11.0741,8.88744,82,93166,94653,gene=murE,product=UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase
U00096.3,94771,95026,NA_peak_48,1.16911,4.71392,3.34904,137,94650,96008,gene=murF,product=D-alanyl-D-alanine-adding enzyme
U00096.3,95637,95784,NA_peak_49,1.14895,3.83385,2.61881,112,94650,96008,gene=murF,product=D-alanyl-D-alanine-adding enzyme
U00096.3,96537,96807,NA_peak_50,1.28708,10.4868,8.35436,109,96002,97084,gene=mraY,product=phospho-N-acetylmuramoyl-pentapeptide-transferase
U00096.3,97235,97455,NA_peak_51,1.11222,2.65751,1.65287,213,97087,98403,gene=murD,product=UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
U00096.3,97912,98285,NA_peak_52,1.26727,9.46125,7.43415,249,97087,98403,gene=murD,product=UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
U00096.3,98482,98696,NA_peak_53,1.16347,4.3038,3.00813,72,98403,99647,gene=ftsW,product=peptidoglycan glycosyltransferase FtsW
U00096.3,99837,100024,NA_peak_54,1.22833,7.16327,5.41818,127,99644,100711,gene=murG,product=N-acetylglucosaminyl transferase
U00096.3,102310,102576,NA_peak_55,1.26781,9.10642,7.11722,65,102233,103153,gene=ddlB,product=D-alanine--D-alanine ligase B
U00096.3,103632,103827,NA_peak_56,1.24393,8.18454,6.30374,35,103155,103985,gene=ftsQ,product=cell division protein FtsQ
U00096.3,104754,105066,NA_peak_57,1.12479,2.85637,1.81384,270,103982,105244,gene=ftsA,product=cell division protein FtsA
U00096.3,105381,105632,NA_peak_58,1.2256,7.19646,5.44679,135,105305,106456,gene=ftsZ,product=cell division protein FtsZ
U00096.3,105821,106179,NA_peak_59,1.17975,5.19231,3.74896,231,105305,106456,gene=ftsZ,product=cell division protein FtsZ
U00096.3,107869,108032,NA_peak_60,1.1809,4.67003,3.31259,46,107705,108217,gene=secM,product=SecA translation regulator
U00096.3,108671,108875,NA_peak_61,1.1589,4.21729,2.93698,80,108279,110984,gene=secA,product=protein translocation ATPase
U00096.3,114039,114237,NA_peak_62,1.17953,5.13016,3.69749,123,113444,114487,gene=guaC,product=GMP reductase
U00096.3,115834,116015,NA_peak_63,1.17074,4.26862,2.97925,22,115714,117099,gene=hofB,product=T2SSE family protein
U00096.3,117180,117372,NA_peak_64,1.13928,3.26789,2.15211,51,117109,117549,gene=ppdD,product=prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD
U00096.3,122155,122545,NA_peak_65,1.25915,9.42189,7.39917,280,122092,122856,gene=pdhR,product=DNA-binding transcriptional dual regulator PdhR
U00096.3,124767,124965,NA_peak_66,1.12876,3.10071,2.0138,89,123017,125680,gene=aceE,product=pyruvate dehydrogenase E1 component
U00096.3,125364,125521,NA_peak_67,1.14874,3.66633,2.48004,104,123017,125680,gene=aceE,product=pyruvate dehydrogenase E1 component
U00096.3,127291,127449,NA_peak_68,1.21508,6.34805,4.72419,114,125695,127587,gene=aceF,product=pyruvate dehydrogenase%2C E2 subunit
U00096.3,129686,130061,NA_peak_69,1.29483,12.201,9.9243,116,129407,131260,gene=yacH,product=DUF3300 domain-containing protein YacH
U00096.3,130912,131092,NA_peak_70,1.18578,4.91404,3.51635,117,129407,131260,gene=yacH,product=DUF3300 domain-containing protein YacH
U00096.3,132645,132886,NA_peak_71,1.175,5.04659,3.62711,152,131615,134212,gene=acnB,product=AcnB
U00096.3,133847,134044,NA_peak_72,1.29037,10.966,8.78878,75,131615,134212,gene=acnB,product=AcnB
U00096.3,137831,137986,NA_peak_73,1.2211,6.74632,5.0618,84,137083,138633,gene=cueO,product=multicopper oxidase CueO
U00096.3,139853,140000,NA_peak_74,1.19427,5.44193,3.95916,79,138835,141225,gene=gcd,product=quinoprotein glucose dehydrogenase
U00096.3,148976,149153,NA_peak_75,1.13023,3.07339,1.99209,6,148807,149601,gene=panB,product=3-methyl-2-oxobutanoate hydroxymethyltransferase
U00096.3,149219,149456,NA_peak_76,1.28053,9.55718,7.51994,138,148807,149601,gene=panB,product=3-methyl-2-oxobutanoate hydroxymethyltransferase
U00096.3,157732,158139,NA_peak_77,1.21996,7.3906,5.61322,330,157729,159126,gene=pcnB,product=poly(A) polymerase I
U00096.3,158450,158793,NA_peak_78,1.30614,11.562,9.3337,80,157729,159126,gene=pcnB,product=poly(A) polymerase I
U00096.3,162218,162629,NA_peak_79,1.20758,6.3546,4.72923,270,162105,164534,gene=hrpB,product=RNA-dependent NTPase HrpB
U00096.3,163397,163764,NA_peak_80,1.27997,11.0456,8.86109,320,162105,164534,gene=hrpB,product=RNA-dependent NTPase HrpB
U00096.3,165404,165808,NA_peak_81,1.18144,5.21226,3.76577,200,164730,167264,gene=mrcB,product=peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB
U00096.3,165404,165808,NA_peak_81,1.18144,5.21226,3.76577,200,164865,167264,gene=mrcB,product=PBP1Bgamma
U00096.3,166090,166733,NA_peak_82,1.31174,12.566,10.2623,370,164730,167264,gene=mrcB,product=peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB
U00096.3,166090,166733,NA_peak_82,1.31174,12.566,10.2623,370,164865,167264,gene=mrcB,product=PBP1Bgamma
U00096.3,167589,167836,NA_peak_83,1.22121,6.64382,4.97465,168,167484,169727,gene=fhuA,product=ferrichrome outer membrane transporter/phage receptor
U00096.3,169853,170455,NA_peak_84,1.40839,19.9264,17.2962,294,169778,170575,gene=fhuC,product=iron(III) hydroxamate ABC transporter ATP binding subunit
U00096.3,170780,171015,NA_peak_85,1.19071,5.12717,3.69499,120,170575,171465,gene=fhuD,product=iron(III) hydroxamate ABC transporter periplasmic binding protein
U00096.3,171241,171496,NA_peak_86,1.28182,10.008,7.92285,134,170575,171465,gene=fhuD,product=iron(III) hydroxamate ABC transporter periplasmic binding protein
U00096.3,171241,171496,NA_peak_86,1.28182,10.008,7.92285,134,171462,173444,gene=fhuB,product=iron(III) hydroxamate ABC transporter membrane subunit
U00096.3,171697,171850,NA_peak_87,1.20889,6.28733,4.67233,98,171462,173444,gene=fhuB,product=iron(III) hydroxamate ABC transporter membrane subunit
U00096.3,171988,172744,NA_peak_88,1.3302,14.3847,11.9656,540,171462,173444,gene=fhuB,product=iron(III) hydroxamate ABC transporter membrane subunit
U00096.3,173569,173996,NA_peak_89,1.22296,6.75467,5.06883,214,173602,174882,gene=hemL,product=glutamate-1-semialdehyde 2%2C1-aminomutase
U00096.3,175402,175619,NA_peak_90,1.25134,7.74265,5.91777,136,175107,176528,gene=clcA,product=chloride:H(+) antiporter ClcA
U00096.3,178073,178544,NA_peak_91,1.22187,6.77155,5.08327,172,177662,178462,gene=btuF,product=vitamin B12 ABC transporter periplasmic binding protein
U00096.3,178073,178544,NA_peak_91,1.22187,6.77155,5.08327,172,178455,179153,gene=mtn,product=5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
U00096.3,182596,182846,NA_peak_92,1.2663,10.7384,8.58212,144,182463,183620,gene=cdaR,product=DNA-binding transcriptional activator CdaR
